,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
66,536532,22530,MAGIC DRAWING SLATE DOLLY GIRL,24,2010-12-01 13:24:00,0.42,12433.0,Norway
67,536532,22531,MAGIC DRAWING SLATE CIRCUS PARADE,24,2010-12-01 13:24:00,0.42,12433.0,Norway
68,536532,22561,WOODEN SCHOOL COLOURING SET,24,2010-12-01 13:24:00,1.65,12433.0,Norway
69,536532,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2010-12-01 13:24:00,0.42,12433.0,Norway
70,536532,22814,CARD PARTY GAMES,12,2010-12-01 13:24:00,0.42,12433.0,Norway
71,536532,21520,BOOZE & WOMEN GREETING CARD,12,2010-12-01 13:24:00,0.42,12433.0,Norway
72,536532,21506,"FANCY FONT BIRTHDAY CARD,",12,2010-12-01 13:24:00,0.42,12433.0,Norway
73,536532,22716,CARD CIRCUS PARADE,12,2010-12-01 13:24:00,0.42,12433.0,Norway
74,536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 13:24:00,2.1,12433.0,Norway
75,536532,22632,HAND WARMER RED RETROSPOT,12,2010-12-01 13:24:00,2.1,12433.0,Norway
76,536532,22865,HAND WARMER OWL DESIGN,12,2010-12-01 13:24:00,2.1,12433.0,Norway
77,536532,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 13:24:00,3.95,12433.0,Norway
78,536532,21982,PACK OF 12 SUKI TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
79,536532,21981,PACK OF 12 WOODLAND TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
80,536532,21967,PACK OF 12 SKULL TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
81,536532,22092,BLUE PAISLEY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
82,536532,21983,PACK OF 12 BLUE PAISLEY TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
83,536532,22615,PACK OF 12 CIRCUS PARADE TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
84,536532,21980,PACK OF 12 RED RETROSPOT TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
85,536532,22614,PACK OF 12 SPACEBOY TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
86,536532,22095,LADS ONLY TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
87,536532,22094,RED RETROSPOT TISSUE BOX,12,2010-12-01 13:24:00,1.25,12433.0,Norway
88,536532,21984,PACK OF 12 PINK PAISLEY TISSUES,48,2010-12-01 13:24:00,0.29,12433.0,Norway
89,536532,22557,PLASTERS IN TIN VINTAGE PAISLEY,36,2010-12-01 13:24:00,1.65,12433.0,Norway
90,536532,21786,POLKADOT RAIN HAT,24,2010-12-01 13:24:00,0.42,12433.0,Norway
91,536532,21080,SET/20 RED RETROSPOT PAPER NAPKINS,36,2010-12-01 13:24:00,0.85,12433.0,Norway
92,536532,22963,JAM JAR WITH GREEN LID,12,2010-12-01 13:24:00,0.85,12433.0,Norway
93,536532,22962,JAM JAR WITH PINK LID,12,2010-12-01 13:24:00,0.85,12433.0,Norway
94,536532,22961,JAM MAKING SET PRINTED,24,2010-12-01 13:24:00,1.45,12433.0,Norway
95,536532,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2010-12-01 13:24:00,2.1,12433.0,Norway
96,536532,22966,GINGERBREAD MAN COOKIE CUTTER,24,2010-12-01 13:24:00,1.25,12433.0,Norway
97,536532,21874,GIN AND TONIC MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
98,536532,21873,IF YOU CAN'T STAND THE HEAT MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
99,536532,21870,I CAN ONLY PLEASE ONE PERSON MUG,24,2010-12-01 13:24:00,1.25,12433.0,Norway
100,536532,22956,36 FOIL HEART CAKE CASES,12,2010-12-01 13:24:00,2.1,12433.0,Norway
101,536532,84050,PINK HEART SHAPE EGG FRYING PAN,72,2010-12-01 13:24:00,1.25,12433.0,Norway
102,536532,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
103,536532,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
104,536532,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
105,536532,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
106,536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
107,536532,22198,LARGE POPCORN HOLDER,48,2010-12-01 13:24:00,1.65,12433.0,Norway
108,536532,22197,SMALL POPCORN HOLDER,72,2010-12-01 13:24:00,0.85,12433.0,Norway
109,536532,22315,200 RED + WHITE BENDY STRAWS,12,2010-12-01 13:24:00,1.25,12433.0,Norway
110,536532,22667,RECIPE BOX RETROSPOT,12,2010-12-01 13:24:00,2.95,12433.0,Norway
111,536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2010-12-01 13:24:00,2.95,12433.0,Norway
112,536532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,12,2010-12-01 13:24:00,2.95,12433.0,Norway
113,536532,22558,CLOTHES PEGS RETROSPOT PACK 24,24,2010-12-01 13:24:00,1.49,12433.0,Norway
114,536532,22567,20 DOLLY PEGS RETROSPOT,24,2010-12-01 13:24:00,1.25,12433.0,Norway
115,536532,85150,LADIES & GENTLEMEN METAL SIGN,12,2010-12-01 13:24:00,2.55,12433.0,Norway
116,536532,21166,COOK WITH WINE METAL SIGN,12,2010-12-01 13:24:00,1.95,12433.0,Norway
117,536532,85152,HAND OVER THE CHOCOLATE   SIGN,24,2010-12-01 13:24:00,2.1,12433.0,Norway
118,536532,82600,NO SINGING METAL SIGN,24,2010-12-01 13:24:00,2.1,12433.0,Norway
119,536532,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 13:24:00,2.95,12433.0,Norway
120,536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433.0,Norway
121,536532,22842,BISCUIT TIN VINTAGE RED,6,2010-12-01 13:24:00,6.75,12433.0,Norway
122,536532,22494,EMERGENCY FIRST AID TIN,24,2010-12-01 13:24:00,1.25,12433.0,Norway
123,536532,21260,FIRST AID TIN,12,2010-12-01 13:24:00,3.25,12433.0,Norway
124,536540,22968,ROSE COTTAGE KEEPSAKE BOX,4,2010-12-01 14:05:00,9.95,14911.0,EIRE
125,536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,2010-12-01 14:05:00,2.95,14911.0,EIRE
126,536540,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,2010-12-01 14:05:00,2.55,14911.0,EIRE
127,536540,22355,CHARLOTTE BAG SUKI DESIGN,50,2010-12-01 14:05:00,0.85,14911.0,EIRE
128,536540,21579,LOLITA  DESIGN  COTTON TOTE BAG,6,2010-12-01 14:05:00,2.25,14911.0,EIRE
129,536540,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2010-12-01 14:05:00,2.25,14911.0,EIRE
130,536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,2010-12-01 14:05:00,1.45,14911.0,EIRE
131,536540,22150,3 STRIPEY MICE FELTCRAFT,12,2010-12-01 14:05:00,1.95,14911.0,EIRE
132,536540,22492,MINI PAINT SET VINTAGE,36,2010-12-01 14:05:00,0.65,14911.0,EIRE
133,536540,22493,PAINT YOUR OWN CANVAS SET,24,2010-12-01 14:05:00,1.65,14911.0,EIRE
134,536540,21833,CAMOUFLAGE LED TORCH,12,2010-12-01 14:05:00,1.69,14911.0,EIRE
135,536540,85135B,BLUE DRAGONFLY HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE
136,536540,85136A,YELLOW SHARK HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE
137,536540,85136C,RED SHARK HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE
138,536540,21055,TOOL BOX SOFT TOY,4,2010-12-01 14:05:00,8.95,14911.0,EIRE
139,536540,21056,DOCTOR'S BAG SOFT TOY,4,2010-12-01 14:05:00,8.95,14911.0,EIRE
140,536540,21889,WOODEN BOX OF DOMINOES,24,2010-12-01 14:05:00,1.25,14911.0,EIRE
141,536540,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-12-01 14:05:00,1.25,14911.0,EIRE
142,536540,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,2010-12-01 14:05:00,9.95,14911.0,EIRE
143,536540,C2,CARRIAGE,1,2010-12-01 14:05:00,50.0,14911.0,EIRE
144,536541,21915,RED  HARMONICA IN BOX,12,2010-12-01 14:05:00,1.25,14911.0,EIRE
160,536803,22113,GREY HEART HOT WATER BOTTLE,6,2010-12-02 16:33:00,3.75,14911.0,EIRE
163,536840,22961,JAM MAKING SET PRINTED,12,2010-12-02 18:27:00,1.45,12738.0,Germany
164,536840,22962,JAM JAR WITH PINK LID,12,2010-12-02 18:27:00,0.85,12738.0,Germany
165,536840,22963,JAM JAR WITH GREEN LID,12,2010-12-02 18:27:00,0.85,12738.0,Germany
166,536840,22776,SWEETHEART CAKESTAND 3 TIER,1,2010-12-02 18:27:00,9.95,12738.0,Germany
167,536840,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2010-12-02 18:27:00,0.55,12738.0,Germany
168,536840,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-02 18:27:00,1.65,12738.0,Germany
169,536840,22215,CAKE STAND WHITE TWO TIER LACE,2,2010-12-02 18:27:00,8.5,12738.0,Germany
170,536840,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-02 18:27:00,0.55,12738.0,Germany
171,536840,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-02 18:27:00,0.55,12738.0,Germany
172,536840,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-02 18:27:00,0.55,12738.0,Germany
173,536840,POST,POSTAGE,1,2010-12-02 18:27:00,18.0,12738.0,Germany
174,536852,22549,PICTURE DOMINOES,12,2010-12-03 09:51:00,1.45,12686.0,France
175,536852,22544,MINI JIGSAW SPACEBOY,24,2010-12-03 09:51:00,0.42,12686.0,France
176,536852,22539,MINI JIGSAW DOLLY GIRL,24,2010-12-03 09:51:00,0.42,12686.0,France
177,536852,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2010-12-03 09:51:00,0.85,12686.0,France
178,536852,21791,VINTAGE HEADS AND TAILS CARD GAME,12,2010-12-03 09:51:00,1.25,12686.0,France
179,536852,21786,POLKADOT RAIN HAT,24,2010-12-03 09:51:00,0.42,12686.0,France
180,536852,POST,POSTAGE,1,2010-12-03 09:51:00,18.0,12686.0,France
181,536858,22326,ROUND SNACK BOXES SET OF4 WOODLAND,30,2010-12-03 10:36:00,2.95,13520.0,Switzerland
182,536858,22554,PLASTERS IN TIN WOODLAND ANIMALS,36,2010-12-03 10:36:00,1.65,13520.0,Switzerland
183,536858,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-03 10:36:00,1.65,13520.0,Switzerland
184,536858,20677,PINK POLKADOT BOWL,16,2010-12-03 10:36:00,1.25,13520.0,Switzerland
185,536858,20750,RED RETROSPOT MINI CASES,2,2010-12-03 10:36:00,7.95,13520.0,Switzerland
186,536858,POST,POSTAGE,2,2010-12-03 10:36:00,40.0,13520.0,Switzerland
187,536861,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-12-03 10:44:00,2.1,12427.0,Germany
188,536861,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-03 10:44:00,1.65,12427.0,Germany
189,536861,21249,WOODLAND  HEIGHT CHART STICKERS,6,2010-12-03 10:44:00,2.95,12427.0,Germany
190,536861,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8,2010-12-03 10:44:00,7.65,12427.0,Germany
191,536861,22634,CHILDS BREAKFAST SET SPACEBOY,8,2010-12-03 10:44:00,8.5,12427.0,Germany
192,536861,22301,COFFEE MUG CAT + BIRD DESIGN,6,2010-12-03 10:44:00,2.55,12427.0,Germany
193,536861,22300,COFFEE MUG DOG + BALL DESIGN,6,2010-12-03 10:44:00,2.55,12427.0,Germany
194,536861,21328,BALLOONS  WRITING SET,12,2010-12-03 10:44:00,1.65,12427.0,Germany
195,536861,21329,DINOSAURS  WRITING SET,12,2010-12-03 10:44:00,1.65,12427.0,Germany
196,536861,POST,POSTAGE,3,2010-12-03 10:44:00,18.0,12427.0,Germany
197,536885,21832,CHOCOLATE CALCULATOR,24,2010-12-03 11:42:00,1.65,,EIRE
198,536885,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-12-03 11:42:00,6.75,,EIRE
199,536885,48184,DOORMAT ENGLISH ROSE,10,2010-12-03 11:42:00,6.75,,EIRE
200,536885,22837,HOT WATER BOTTLE BABUSHKA,24,2010-12-03 11:42:00,4.65,,EIRE
201,536885,22632,HAND WARMER RED RETROSPOT,12,2010-12-03 11:42:00,2.1,,EIRE
202,536885,22834,HAND WARMER BABUSHKA DESIGN,12,2010-12-03 11:42:00,2.1,,EIRE
203,536885,22867,HAND WARMER BIRD DESIGN,12,2010-12-03 11:42:00,2.1,,EIRE
204,536885,22865,HAND WARMER OWL DESIGN,12,2010-12-03 11:42:00,2.1,,EIRE
205,536885,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-03 11:42:00,2.1,,EIRE
206,536885,22312,OFFICE MUG WARMER POLKADOT,36,2010-12-03 11:42:00,2.95,,EIRE
207,536885,51014C,"FEATHER PEN,COAL BLACK",36,2010-12-03 11:42:00,0.85,,EIRE
208,536890,17090A,LAVENDER INCENSE 40 CONES IN TIN,36,2010-12-03 11:48:00,0.85,14156.0,EIRE
209,536890,17084R,ASSORTED INCENSE PACK,1440,2010-12-03 11:48:00,0.16,14156.0,EIRE
210,536890,17091J,VANILLA INCENSE IN TIN,72,2010-12-03 11:48:00,0.85,14156.0,EIRE
211,536944,22383,LUNCH BAG SUKI  DESIGN,70,2010-12-03 12:20:00,1.65,12557.0,Spain
212,536944,22384,LUNCH BAG PINK POLKADOT,100,2010-12-03 12:20:00,1.45,12557.0,Spain
213,536944,20727,LUNCH BAG  BLACK SKULL.,60,2010-12-03 12:20:00,1.65,12557.0,Spain
214,536944,20725,LUNCH BAG RED RETROSPOT,70,2010-12-03 12:20:00,1.65,12557.0,Spain
215,536944,20728,LUNCH BAG CARS BLUE,100,2010-12-03 12:20:00,1.45,12557.0,Spain
216,536967,POST,POSTAGE,1,2010-12-03 12:57:00,18.0,12600.0,Germany
217,536967,85099B,JUMBO BAG RED RETROSPOT,30,2010-12-03 12:57:00,1.95,12600.0,Germany
218,536971,21733,RED HANGING HEART T-LIGHT HOLDER,32,2010-12-03 13:40:00,2.55,12779.0,Poland
219,536971,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2010-12-03 13:40:00,1.25,12779.0,Poland
220,536971,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-03 13:40:00,1.45,12779.0,Poland
221,536971,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,2010-12-03 13:40:00,1.49,12779.0,Poland
222,536971,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2010-12-03 13:40:00,0.85,12779.0,Poland
223,536971,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2010-12-03 13:40:00,8.5,12779.0,Poland
224,536971,22961,JAM MAKING SET PRINTED,12,2010-12-03 13:40:00,1.45,12779.0,Poland
225,536971,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-03 13:40:00,1.45,12779.0,Poland
226,536974,15056BL,EDWARDIAN PARASOL BLACK,9,2010-12-03 13:59:00,5.95,12682.0,France
227,536974,15056P,EDWARDIAN PARASOL PINK,3,2010-12-03 13:59:00,5.95,12682.0,France
228,536974,20679,EDWARDIAN PARASOL RED,6,2010-12-03 13:59:00,5.95,12682.0,France
229,536974,21915,RED  HARMONICA IN BOX,12,2010-12-03 13:59:00,1.25,12682.0,France
230,536974,22659,LUNCH BOX I LOVE LONDON,12,2010-12-03 13:59:00,1.95,12682.0,France
231,536974,22352,LUNCH BOX WITH CUTLERY RETROSPOT,12,2010-12-03 13:59:00,2.55,12682.0,France
232,536974,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2010-12-03 13:59:00,1.25,12682.0,France
233,536974,22027,TEA PARTY BIRTHDAY CARD,12,2010-12-03 13:59:00,0.42,12682.0,France
234,536974,20749,ASSORTED COLOUR MINI CASES,2,2010-12-03 13:59:00,7.95,12682.0,France
235,536974,20750,RED RETROSPOT MINI CASES,2,2010-12-03 13:59:00,7.95,12682.0,France
236,536974,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2010-12-03 13:59:00,0.85,12682.0,France
237,536974,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-03 13:59:00,2.1,12682.0,France
238,536974,22080,RIBBON REEL POLKADOTS,10,2010-12-03 13:59:00,1.65,12682.0,France
239,536974,20725,LUNCH BAG RED RETROSPOT,10,2010-12-03 13:59:00,1.65,12682.0,France
240,536974,20726,LUNCH BAG WOODLAND,10,2010-12-03 13:59:00,1.65,12682.0,France
241,536974,POST,POSTAGE,2,2010-12-03 13:59:00,18.0,12682.0,France
242,536975,84352,SILVER CHRISTMAS TREE BAUBLE STAND,1,2010-12-03 14:04:00,16.95,14911.0,EIRE
243,536975,22948,METAL DECORATION NAUGHTY CHILDREN,24,2010-12-03 14:04:00,0.85,14911.0,EIRE
244,536975,22945,CHRISTMAS METAL TAGS ASSORTED,36,2010-12-03 14:04:00,0.85,14911.0,EIRE
245,536975,22944,CHRISTMAS METAL POSTCARD WITH BELLS,24,2010-12-03 14:04:00,1.25,14911.0,EIRE
246,536975,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-03 14:04:00,2.95,14911.0,EIRE
247,536975,22572,ROCKING HORSE GREEN CHRISTMAS,12,2010-12-03 14:04:00,0.85,14911.0,EIRE
248,536975,22571,ROCKING HORSE RED CHRISTMAS,12,2010-12-03 14:04:00,0.85,14911.0,EIRE
249,536975,22246,"GARLAND, MAGIC GARDEN 1.8M",12,2010-12-03 14:04:00,1.95,14911.0,EIRE
250,536975,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2010-12-03 14:04:00,2.95,14911.0,EIRE
251,536975,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2010-12-03 14:04:00,2.95,14911.0,EIRE
252,536975,20668,DISCO BALL CHRISTMAS DECORATION,48,2010-12-03 14:04:00,0.12,14911.0,EIRE
253,536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,2010-12-03 14:04:00,0.85,14911.0,EIRE
254,536975,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2010-12-03 14:04:00,0.55,14911.0,EIRE
255,536975,21815,STAR  T-LIGHT HOLDER,24,2010-12-03 14:04:00,1.45,14911.0,EIRE
256,536975,35967,FOLK ART METAL STAR T-LIGHT HOLDER,24,2010-12-03 14:04:00,0.38,14911.0,EIRE
257,536975,22049,WRAP CHRISTMAS SCREEN PRINT,50,2010-12-03 14:04:00,0.42,14911.0,EIRE
258,536975,85032D,YULETIDE IMAGES GIFT WRAP SET,12,2010-12-03 14:04:00,2.1,14911.0,EIRE
259,536975,22752,SET 7 BABUSHKA NESTING BOXES,6,2010-12-03 14:04:00,8.5,14911.0,EIRE
260,536975,22075,6 RIBBONS ELEGANT CHRISTMAS,12,2010-12-03 14:04:00,1.65,14911.0,EIRE
261,536975,22585,PACK OF 6 BIRDY GIFT TAGS,12,2010-12-03 14:04:00,1.25,14911.0,EIRE
262,536975,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2010-12-03 14:04:00,8.5,14911.0,EIRE
263,536975,22845,VINTAGE CREAM CAT FOOD CONTAINER,4,2010-12-03 14:04:00,6.35,14911.0,EIRE
264,536975,22846,BREAD BIN DINER STYLE RED,2,2010-12-03 14:04:00,16.95,14911.0,EIRE
265,536975,22847,BREAD BIN DINER STYLE IVORY,2,2010-12-03 14:04:00,16.95,14911.0,EIRE
266,536975,22848,BREAD BIN DINER STYLE PINK,2,2010-12-03 14:04:00,16.95,14911.0,EIRE
